,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,index,directory1,directory2,name,lowlevel_barkbands_flatness_db_mean,lowlevel_barkbands_flatness_db_median,lowlevel_spectral_complexity_mean,lowlevel_spectral_complexity_median,lowlevel_spectral_decrease_mean,lowlevel_spectral_decrease_median,lowlevel_spectral_energy_mean,lowlevel_spectral_energy_median,lowlevel_spectral_energyband_middle_high_median,lowlevel_spectral_entropy_mean,lowlevel_spectral_entropy_median,lowlevel_spectral_flux_mean,lowlevel_spectral_flux_median,lowlevel_spectral_rms_mean,lowlevel_spectral_rms_median,lowlevel_spectral_rolloff_mean,lowlevel_spectral_rolloff_var,lowlevel_spectral_skewness_min,lowlevel_spectral_spread_median,tonal_hpcp_crest_median,lowlevel_silence_rate_30dB_min,rhythm_danceability,tonal_tuning_frequency,lowlevel_barkbands_crest_mean,lowlevel_barkbands_crest_median,lowlevel_barkbands_crest_min,lowlevel_barkbands_flatness_db_mean,lowlevel_barkbands_flatness_db_median,lowlevel_barkbands_spread_mean,lowlevel_dissonance_mean,lowlevel_dissonance_median,lowlevel_erbbands_crest_mean,lowlevel_erbbands_crest_median,lowlevel_erbbands_flatness_db_mean,lowlevel_erbbands_flatness_db_median,lowlevel_erbbands_skewness_mean,lowlevel_erbbands_skewness_median,lowlevel_melbands_flatness_db_mean,lowlevel_melbands_flatness_db_median,lowlevel_melbands_skewness_mean,lowlevel_melbands_skewness_median,lowlevel_melbands_spread_mean,lowlevel_melbands_spread_median,lowlevel_melbands_spread_var,lowlevel_silence_rate_60dB_mean,lowlevel_silence_rate_60dB_var,lowlevel_spectral_centroid_mean,lowlevel_spectral_centroid_median
0,10,10,10,10.0,Mama Musik,Sandra - 18 Greatest Hits - Full Album - 320 Kbps,14 - Hiroshima,0.13243496418,0.115332394838,16.6825752258,14.0,-4.69955274696e-09,-2.87963253243e-09,0.0199427288026,0.0131211662665,0.00183147820644,7.68334627151,7.738334655760001,0.0730539336801,0.06368328630919999,0.00383812142536,0.0035778677556700007,2774.49121094,6536821.0,-0.034960176795699995,5481804.0,12.1224193573,1.0,1.13596284389,446.142181396,9.90695571899,8.643737792969999,2.21817779541,0.13243496418,0.115332394838,30.3776531219,0.466515719891,0.474409848452,8.64357089996,7.455683708189999,0.158291503787,0.135990619659,0.0682622715831,0.060079861432300014,0.17438417673099998,0.165320336819,2.59367060661,2.38985538483,33.966381073,24.719667434699996,806.7375488280002,0.191796720028,0.155011847615,1733.64160156,1640.21704102
1,12,12,12,12.0,Mama Musik,Sandra - 18 Greatest Hits - Full Album - 320 Kbps,17 - Don't Be Aggressive,0.141425266862,0.13553342223200002,15.765768051099998,13.0,-7.29175564373e-09,-5.5850652991300006e-09,0.029177673161,0.0224113874137,0.00216741254553,7.661252021789999,7.69081401825,0.0885153338313,0.07555215060710001,0.00479974038899,0.00467597786337,1309.73791504,3210241.25,-0.0455672480166,5009031.5,11.2803859711,0.0,1.18550384045,440.254241943,10.9904260635,10.4781742096,2.43399429321,0.141425266862,0.13553342223200002,22.8482131958,0.466020286083,0.4727577269080001,8.31959915161,7.53039360046,0.133925721049,0.126028612256,0.177320569754,0.120233774185,0.22090664506,0.214493691921,3.7070338726,3.1352543830900004,20.054807663,15.144883155799999,335.90536499,0.07145620882510001,0.0663465559483,1308.25061035,1167.99108887
2,23,23,23,23.0,Mama Musik,Sandra - 18 Greatest Hits - Full Album - 320 Kbps,04 - Innocent Love,0.114278994501,0.104342952371,24.3980388641,23.0,-6.874106173170001e-09,-6.00023097874e-09,0.0283420402557,0.0250913184136,0.0051025711,7.75181102753,7.80693292618,0.0919393599033,0.0882105380297,0.00494298711419,0.00494765955955,1916.5012207,3713649.75,-0.0561208277941,4502460.5,11.538682937599999,0.0,1.1597279310200002,439.238189697,9.607990264889999,8.671585083010001,2.22923278809,0.114278994501,0.104342952371,26.604307174699997,0.47049164772,0.478022813797,8.34924602509,7.0590057373000015,0.145813286304,0.136768877506,0.239938110113,0.160385325551,0.172555983067,0.163104757667,2.14690709114,2.04912090302,29.5949726105,24.9034175873,399.97949218800005,0.0322455838323,0.0312042608857,1584.51513672,1547.05725098
3,24,24,24,24.0,Mama Musik,Sandra - 18 Greatest Hits - Full Album - 320 Kbps,06 - Loreen,0.124918445945,0.117364965379,19.774023056,18.0,-4.50091564019e-09,-3.49958906298e-09,0.018704932183,0.014530652202700002,0.00325267529115,7.58640909195,7.62436389923,0.0650958791375,0.0584758967161,0.003819584148,0.00376513553783,1912.32055664,2705362.25,-0.0532228462398,3811469.0,13.1125240326,0.0,1.01373338699,446.65783691400003,9.23729419708,8.41601085663,2.25540113449,0.124918445945,0.117364965379,23.568090438800002,0.467401355505,0.473318696022,8.56459522247,7.164516925810001,0.166415929794,0.157812058926,0.127751275897,0.0903061181307,0.17541572451600002,0.168588742614,2.0083026886,1.90801131725,28.860748291,24.3558673859,340.03585815400004,0.148329675198,0.126305416226,1615.89697266,1565.58007812
4,28,28,28,28.0,Oldies,0,"Phil Collins, Solo batterie live à Bercy- HD",0.243151932955,0.238227874041,19.352766037000002,18.0,-4.336242476199999e-09,-2.74105937947e-09,0.0181758999825,0.0119268726557,0.00199154228903,7.7978181839,7.81041955948,0.0813142210245,0.0689520090818,0.00374107039534,0.0034111542627199994,2628.10961914,3805575.75,-0.4210971593860001,3611517.25,9.43600082397,0.0,0.978141129017,434.193115234,9.05117797852,7.83252811432,2.1790266037,0.243151932955,0.238227874041,24.9669837952,0.487135499716,0.489414602518,6.25520944595,5.670855522159999,0.249147891998,0.208000808954,-0.0831346958876,0.058842267841099985,0.220056414604,0.220828518271,2.89554047585,1.84142231941,33.1106071472,23.6579818726,1024.86694336,0.0957048907876,0.08654165267939999,2112.98925781,2155.77490234
5,29,29,29,29.0,Oldies,0,drums boogie    ,0.257840692997,0.250260025263,8.16625785828,8.0,-8.23043055931e-09,-5.51304024654e-09,0.0317748971283,0.0213739480823,0.00054934527725,6.96548748016,7.01901054382,0.0843152105808,0.06986130028960001,0.00498543260619,0.004566468298439999,486.965393066,470426.46875,-0.708140492439,3915589.75,11.872887611400001,0.0,1.13985979557,442.548919678,12.339779853800001,11.845626831099999,2.4879288673400004,0.257840692997,0.250260025263,9.889045715329999,0.456098169088,0.460876345634,11.4134578705,9.95907020569,0.203298181295,0.194680482149,0.94992184639,0.833099961281,0.313276827335,0.307410895824,5.08233737946,4.89282131195,9.441326141360001,5.1702771186800005,221.251174927,0.0541725791991,0.0512351989746,730.159912109,570.75402832
6,34,34,34,38.0,Oldies,0,Joja Wendt - Death Ray Boogie - High Class Boogie Woogie Piano,0.271393597126,0.271738350391,16.8149108887,17.0,-6.37908348367e-09,-5.26488941333e-09,0.0254012830555,0.0209698863328,0.00280984118581,6.80071735382,6.7972707748399985,0.0720319226384,0.06612705439330001,0.0046442481689200005,0.00452309893444,980.9819335939999,629710.5,-0.386143803596,1753758.125,12.8834066391,0.0,1.08691036701,440.254241943,10.2059316635,9.45537376404,2.6176972389200004,0.271393597126,0.271738350391,11.9665155411,0.458734452724,0.466002941132,11.0565567017,8.98836898804,0.286805182695,0.281270027161,0.295250952244,0.32972520589800003,0.336016207933,0.342114150524,1.68146216869,1.80694925785,16.4892902374,12.681818962100001,151.763671875,0.0366309806705,0.03529012203219998,878.682189941,693.059997559
7,45,45,45,53.0,Saves The Day - Stay.What.You.Are,0,Saves The Day - Nightingale,0.118456616998,0.109105378389,24.7595767975,25.0,-9.133678702259999e-09,-8.07535105452e-09,0.0368541739881,0.033046979457099994,0.00546014634892,7.611249923710001,7.65869474411,0.0920754373074,0.0787492096424,0.0056264186278,0.0056781116873,1647.9798584,4222910.0,-0.0218908376992,4503970.5,11.5446968079,0.0,1.20722997189,434.193115234,8.90333843231,8.20703697205,2.49024629593,0.118456616998,0.109105378389,24.7932891846,0.467726111412,0.474441051483,8.47561359406,7.312081813810001,0.133136123419,0.12956418097,0.18722474575,0.0992313697934,0.191503599286,0.180927067995,2.7528054714200003,2.40129685402,24.5500507355,21.5322380066,394.09677124,0.0437250100076,0.0418224669993,1399.65808105,1380.7479248
8,46,46,46,54.0,Saves The Day - Stay.What.You.Are,0,Saves The Day - As Your Ghost Takes Flight,0.111027292907,0.103572331369,25.3199481964,27.0,-9.05553942943e-09,-8.18840462102e-09,0.0366650894284,0.0334488414228,0.00722520798445,7.70433330536,7.706937313080001,0.101569794118,0.0878376960754,0.00569456908852,0.0057125315070200005,1671.74365234,2680065.0,-0.0320524275303,4232639.0,11.5623703003,0.0,1.2562404871,434.193115234,8.8351984024,7.98093938828,2.65636968613,0.111027292907,0.103572331369,25.776126861599998,0.471756696701,0.477119922638,8.6515712738,7.29770755768,0.14182549715,0.13943362236,0.043182615190699984,0.028283350169700006,0.18070371449,0.171034961939,2.3812892437,1.99349117279,28.054605484,25.632484436,344.375396729,0.0350541733205,0.0338249728084,1501.93981934,1457.09008789
9,48,48,48,56.0,Saves The Day - Stay.What.You.Are,0,Saves The Day - Jukebox Breakdown,0.125063017011,0.11960233748,23.2766666412,23.0,-1.0442854581100001e-08,-9.12768260974e-09,0.0418001674116,0.0370803289115,0.00472287554294,7.62162590027,7.6527838707,0.101139269769,0.0845362171531,0.0061244075186600005,0.00601464277133,1249.90600586,1828233.875,0.121715277433,4509950.0,12.0473117828,0.0,1.27530765533,440.508636475,9.85834693909,9.1561460495,2.75444364548,0.125063017011,0.11960233748,22.527654647800002,0.469346523285,0.475568175316,8.421410560610001,7.00447893143,0.132744669914,0.128110095859,0.265550523996,0.198492065072,0.202087908983,0.197555169463,3.06848478317,2.7670619487800003,20.386863708499998,18.6592178345,171.37811279299999,0.00438539916649,0.00436601182446,1301.65197754,1243.94714355
