,Unnamed: 0,Unnamed: 0.1,index,directory1,directory2,name,lowlevel_silence_rate_30dB_min,lowlevel_barkbands_flatness_db_mean,lowlevel_barkbands_flatness_db_median,lowlevel_spectral_complexity_mean,lowlevel_spectral_complexity_median,lowlevel_spectral_decrease_mean,lowlevel_spectral_decrease_median,lowlevel_spectral_energy_mean,lowlevel_spectral_energy_median,lowlevel_spectral_energyband_middle_high_median,lowlevel_spectral_entropy_mean,lowlevel_spectral_entropy_median,lowlevel_spectral_flux_mean,lowlevel_spectral_flux_median,lowlevel_spectral_rms_mean,lowlevel_spectral_rms_median,lowlevel_spectral_rolloff_mean,lowlevel_spectral_rolloff_var,lowlevel_spectral_skewness_min,lowlevel_spectral_spread_median,tonal_hpcp_crest_median,lowlevel_silence_rate_30dB_min,rhythm_danceability,tonal_tuning_frequency,lowlevel_barkbands_crest_mean,lowlevel_barkbands_crest_median,lowlevel_barkbands_crest_min,lowlevel_barkbands_flatness_db_mean,lowlevel_barkbands_flatness_db_median,lowlevel_barkbands_spread_mean,lowlevel_dissonance_mean,lowlevel_dissonance_median,lowlevel_erbbands_crest_mean,lowlevel_erbbands_crest_median,lowlevel_erbbands_flatness_db_mean,lowlevel_erbbands_flatness_db_median,lowlevel_erbbands_skewness_mean,lowlevel_erbbands_skewness_median,lowlevel_melbands_flatness_db_mean,lowlevel_melbands_flatness_db_median,lowlevel_melbands_skewness_mean,lowlevel_melbands_skewness_median,lowlevel_melbands_spread_mean,lowlevel_melbands_spread_median,lowlevel_melbands_spread_var,lowlevel_silence_rate_60dB_mean,lowlevel_silence_rate_60dB_var,lowlevel_spectral_centroid_mean,lowlevel_spectral_centroid_median
0,5,5,5.0,!!! - Louden Up Now,0,!!! - 07 Shitscheissemerde Part 2,0.0,0.211560249329,0.167075768113,9.98104000092,5.0,-8.54619841562e-09,-2.2614328187800007e-09,0.034405712038300014,0.011053026653799999,0.000334710959578,7.301700592039999,7.6839776039100025,0.09285486489530001,0.069205313921,0.0045813708566099995,0.00328381499276,3147.14819336,18558638.0,-0.398043423891,5673164.0,10.5238199234,0.0,1.5773570537600001,434.193115234,12.2233190536,11.05950737,2.1686069965400003,0.211560249329,0.167075768113,25.509063720700002,0.4491794407370001,0.474774956703,9.98115348816,8.41582584381,0.170832872391,0.14384791255,0.45838925242399997,0.179708451033,0.290690302849,0.256589919329,3.9215180873900004,2.70043730736,35.0887145996,10.985427856400001,2400.48730469,0.248935893178,0.18697275221299997,1557.78527832,1205.34387207
1,11,11,11.0,Mama Musik,Sandra - 18 Greatest Hits - Full Album - 320 Kbps,16 - One More Night,0.0,0.186183854938,0.179380103946,13.642332077,12.0,-7.24799420482e-09,-5.84604586962e-09,0.0289690401405,0.0237485226244,0.00175124290399,7.19168519974,7.230044841769999,0.07612624764439999,0.0646635517478,0.004878597799689999,0.00481344899163,1110.1751709,2548555.25,-0.0554422624409,5015831.5,14.3101539612,0.0,1.0355511903799999,441.782684326,12.0646715164,11.4318933487,2.8594992160799997,0.186183854938,0.179380103946,13.3904123306,0.430355280638,0.437057346106,11.474997520399999,10.5811071396,0.189237579703,0.18216560781,1.13837623596,1.10581731796,0.24653303623199999,0.237158238888,2.70715880394,2.43611955643,14.054841041600001,10.158839225800001,201.61618042,0.0381787680089,0.036726746708199996,865.619262695,694.989562988
2,14,14,14.0,Mama Musik,Sandra - 18 Greatest Hits - Full Album - 320 Kbps,05 - Hi Hi Hi,0.0,0.128676131368,0.110853858292,18.4341545105,14.0,-5.23291099341e-09,-3.97800281604e-09,0.0218870714307,0.0171215962619,0.00217030383646,7.7820391655,7.8972249031100015,0.0812052488327,0.0755059421062,0.00400747125968,0.00408705230802,2759.64331055,8816471.0,-0.224846422672,5172301.0,11.6978664398,0.0,1.25799310207,440.0,10.7207555771,9.29021263123,2.06438326836,0.128676131368,0.110853858292,29.1075649261,0.468275010586,0.478882938623,9.13412570953,7.758721828460001,0.146391168237,0.135956376791,0.371181637049,0.206694960594,0.177759379148,0.151358217001,2.66727089882,2.19591546059,34.466972351100004,26.404706955,1005.94549561,0.183154910803,0.14962296187899998,1754.94897461,1711.56750488
3,15,15,15.0,Mama Musik,Sandra - 18 Greatest Hits - Full Album - 320 Kbps,13 - Around My Heart,1.0,0.115002825856,0.105035215616,18.314846038800003,16.0,-6.06092243061e-09,-4.5443191432099995e-09,0.024824755266299996,0.019049609080000002,0.00257717538625,7.831072807310001,7.88649940491,0.08768045902249999,0.074626609683,0.00451960647479,0.00431103073061,1866.92773438,4760600.5,-0.0319711118937,5697219.0,12.3673171997,1.0,1.72102689743,440.508636475,9.91977787018,8.565385818480001,2.33166122437,0.115002825856,0.105035215616,27.4343261719,0.47111904621100004,0.476890057325,8.007906913760001,6.84558439255,0.122146606445,0.11676182597899999,0.24536632001400002,0.251539170742,0.18021115660700002,0.172308757901,3.3452198505400004,2.91387057304,25.9484672546,19.957258224500002,497.178070068,0.0385657176375,0.0370762236416,1488.26293945,1371.33422852
4,19,19,19.0,Mama Musik,Sandra - 18 Greatest Hits - Full Album - 320 Kbps,03 - Little Girl,0.0,0.10509862005699999,0.09942961484190001,20.3842391968,18.0,-5.5722093605899996e-09,-4.2066563565899996e-09,0.023425264284000002,0.017888583242900002,0.0038309972733299997,7.8591895103499985,7.87082862854,0.08058650046589999,0.0671124905348,0.00443157600239,0.0041775922291,2215.32055664,4986987.5,-0.042917300015699995,5637300.0,13.286765098599998,0.0,1.21887910366,439.745910645,9.637639999389998,8.81369686127,2.23772883415,0.10509862005699999,0.09942961484190001,31.717924118000003,0.471258938313,0.477624326944,9.34467411041,7.742547512050001,0.13108792901,0.127651587129,0.35143673420000004,0.31239578127900003,0.160565495491,0.152747392654,2.42720961571,2.19047021866,31.638889312699998,28.8437976837,388.684356689,0.0248935893178,0.0242739487439,1682.5723877,1633.44470215
5,20,20,20.0,Mama Musik,Sandra - 18 Greatest Hits - Full Album - 320 Kbps,10 - Heaven Can Wait,1.0,0.14497731626,0.12571156024900002,15.734296798699999,14.0,-5.92522209075e-09,-4.29072466446e-09,0.024222996085900002,0.017894035205200002,0.00199251482263,7.717381477360001,7.85067939758,0.09152757376430001,0.0748690590262,0.00438352441415,0.00417822878808,1691.53796387,4456003.5,-0.17958587408100002,5877716.5,12.3975458145,1.0,1.51218473911,444.855529785,11.9940814972,11.1850328445,2.2920176982900005,0.14497731626,0.12571156024900002,26.165643692,0.463675767183,0.472025036812,8.47346019745,7.3082704544100014,0.131782785058,0.118263348937,0.387456566095,0.30591610074000003,0.213401883841,0.190685346723,3.9277782440199993,3.07069826126,24.1966362,17.8847236633,624.929870605,0.08461240679030001,0.0774499624968,1486.05529785,1381.56066895
6,30,30,33.0,Oldies,0,Swing - Best of The Big Bands (1_3),1.0,0.287443101406,0.280341506004,16.8974590302,15.0,-3.43439343631e-09,-3.2072839939399997e-09,0.0146930450574,0.013421816751399999,0.00514839123935,6.94442749023,7.042890548710001,0.0614562034607,0.0569515898824,0.0034813452512,0.00361862615682,1775.31396484,1117856.875,-0.520530939102,1823326.75,13.1656150818,1.0,1.23491847515,441.782684326,9.72662067413,8.694389343260001,2.40638494492,0.287443101406,0.280341506004,13.881674766500002,0.45736455917400004,0.46895951032600003,10.505358696,8.97380924225,0.330169945955,0.325199335814,0.052215810865199996,0.00342365656979,0.34486627578699997,0.338273465633,1.17697989941,0.925149857998,25.4506797791,23.584484100300003,260.70422363299997,0.134657546878,0.11652172356799999,1515.64489746,1479.95227051
7,38,38,43.0,Oldies,0,THE BEST BOOGIE WOOGIE EVER,0.0,0.218203932047,0.215784177184,19.940925598099998,21.0,-1.1502592656100001e-08,-9.85085968352e-09,0.04491590335969999,0.0385333523154,0.00404815748334,7.3294916152999985,7.314582347869999,0.08830977976320001,0.0788869336247,0.00604689493775,0.00613135518506,928.260742188,4246553.0,-0.068558819592,2839917.0,12.3422164917,0.0,1.23705053329,434.193115234,12.3106603622,11.886810302699999,2.223767519,0.218203932047,0.215784177184,14.3699836731,0.470484942198,0.47502103447899996,8.34636211395,7.0661416053799995,0.21235948800999999,0.20968042314100002,0.223395302892,0.275319904089,0.266803264618,0.265257298946,2.6847577095,2.49896836281,15.8268032074,12.7042779922,248.658859253,0.0874500200152,0.0797971785069,1008.08984375,838.168640137
8,39,39,44.0,Oldies,0,1920's - Quickstep Vs Charleston,0.0,0.274413019419,0.271972626448,11.6116342545,11.0,-6.03059913118e-09,-3.85870446706e-09,0.023858288303000002,0.0153616089374,0.0017443585675199999,6.80482435226,6.78441429138,0.0666093677282,0.0581764578819,0.00423409603536,0.00387129629962,1085.84301758,3147220.0,-0.347641974688,2292140.75,12.4142837524,0.0,1.2973701953899999,453.15466308599997,11.7726697922,10.7159070969,3.0573160648299997,0.274413019419,0.271972626448,12.9029912949,0.43744307756399997,0.44837608933399997,10.6333312988,9.53143501282,0.275450050831,0.247391313314,0.289216548204,0.297160297632,0.33284920454,0.339614421129,2.48801589012,1.87307524681,16.0598144531,10.791248321500001,307.86956787099996,0.120856441557,0.106243908405,1019.61535645,786.1382446289999
9,43,43,50.0,Oldies,0,Swing - Best of The Big Bands (3_3),0.0,0.364222824574,0.36744937300700004,11.3134269714,10.0,-4.37674341214e-09,-3.16195758465e-09,0.017664587125200002,0.012632730416999999,0.00175987335388,6.06762838364,6.01685667038,0.050937924534099996,0.043205678463000004,0.0037607126869299997,0.0035106432624199997,975.310546875,498239.4375,-0.275432378054,1095295.75,14.493535041800001,0.0,0.944511830807,437.71853637699996,12.5115089417,11.6541385651,2.7260324955,0.364222824574,0.36744937300700004,7.27580833435,0.38745233416599995,0.4017485380170001,14.4350376129,13.409044265699999,0.39467567205399995,0.395276844501,0.521079838276,0.421504437923,0.45550763607,0.46806097030599997,0.9025148749349999,0.859320878983,11.974814415,8.99776935577,107.153594971,0.101509094238,0.09121087193489999,779.6449584960001,626.7932128909999
10,49,49,57.0,Saves The Day - Stay.What.You.Are,0,Saves The Day - All I'm Losing Is Me,0.0,0.108375526965,0.0973385646939,24.903263092,25.0,-7.99970401033e-09,-6.8810006581499996e-09,0.0327088423073,0.028814168646900007,0.006143923848869999,7.709058284760001,7.72914361954,0.098332516849,0.0827218517661,0.0053173629567,0.00530201708898,1771.37548828,2503237.25,-0.36101749539399997,4363790.5,11.420213699300001,0.0,1.24120795727,434.193115234,8.68282794952,7.725408554079999,2.24332928658,0.108375526965,0.0973385646939,26.6117076874,0.4735712111,0.47845557331999994,8.29687976837,7.191744804380001,0.135914474726,0.134353637695,0.0721015110612,0.0291867740452,0.174156188965,0.15961691737199998,2.6157712936400004,2.16921424866,28.467016220100003,26.4057254791,367.08996582,0.0322455838323,0.031203897669900005,1606.35571289,1603.23071289
11,51,51,59.0,Saves The Day - Stay.What.You.Are,0,Saves The Day - Cars & Calories,0.0,0.121287494898,0.108949907124,22.7013645172,24.0,-6.78471412385e-09,-5.63391866493e-09,0.027751952409700003,0.0233451966196,0.006099562160670001,7.52530956268,7.6091966629,0.08529204130169997,0.07167290896180001,0.0047849616967099995,0.00477240001783,1800.44750977,2459704.75,-0.659169256687,4004388.25,12.023516655,0.0,1.17165207863,434.193115234,8.48782634735,7.440344810489999,2.55047416687,0.121287494898,0.108949907124,24.036567688,0.465070217848,0.470844447613,9.59606552124,8.13230609894,0.161923363805,0.155572831631,0.12585298717,0.126278534532,0.182196527719,0.16880223155000001,1.9629430770900005,1.6127926111200002,30.7613143921,27.7368335724,523.010437012,0.07244338095189999,0.0671959295869,1539.64831543,1500.24987793
12,70,70,78.0,The BossHoss,Rodeo Radio,03-the_bosshoss-ring_ring_ring-mst,1.0,0.111720941961,0.10185644775599999,20.260803222699998,18.0,-5.051088436399999e-09,-4.43419523322e-09,0.0209792032838,0.0183918364346,0.0036142345052199995,7.59467411041,7.6603927612300025,0.0824764445424,0.0773394405842,0.00423449277878,0.0042359479703,1763.62805176,1931170.875,-0.0249473378062,4401817.5,11.433781623800002,1.0,1.50529694557,440.508636475,8.76198482513,7.87361574173,2.41736412048,0.111720941961,0.10185644775599999,25.4391155243,0.46423348784400004,0.472759723663,8.590292930599999,7.69054222107,0.143601641059,0.141753673553,0.180835664272,0.09384284168479999,0.175867781043,0.165213897824,2.35537981987,2.1028373241400002,28.3551082611,25.1148586273,375.157073975,0.0411453619599,0.0394520200789,1496.86853027,1487.61669922
13,79,79,91.0,The BossHoss,Internashville Urban Hymns,11 Eyes Without A Face,1.0,0.17697112262200002,0.17062750458700002,22.7625427246,22.0,-6.76590561355e-09,-6.56965326584e-09,0.027594292536400004,0.026795884594299997,0.00567893916741,7.48204708099,7.4718332290600005,0.08151506632569999,0.0761997550726,0.004954377654939999,0.0051129567436899994,1637.69250488,2120100.0,-0.07800935953860001,3396159.75,11.4201211929,1.0,1.19721233845,442.03793335,8.61141490936,7.93889665604,2.49090957642,0.17697112262200002,0.17062750458700002,23.252429962199997,0.463405430317,0.469659268856,8.39727497101,7.62839651108,0.19052018225200001,0.191424623132,0.105919972062,0.11241043359000001,0.189232945442,0.181726261973,2.01170730591,1.82634067535,28.5251598358,24.565074920700003,464.795715332,0.046175673603999996,0.044047333300099994,1439.83093262,1389.7989502
14,81,81,93.0,The BossHoss,Internashville Urban Hymns,02 Hey Ya!,1.0,0.15730820596200001,0.150846540928,22.757900238,21.0,-5.5340225735299994e-09,-5.14115594541e-09,0.022964332252700004,0.021268364042000002,0.00467162765563,7.759588241579999,7.785070419310001,0.0837921500206,0.0818824619055,0.00446060951799,0.00455517554656,1979.76269531,2529709.25,-0.40769636630999995,4340886.5,10.03703022,1.0,1.06804955006,439.238189697,8.3659696579,7.65483903885,2.45811653137,0.15730820596200001,0.150846540928,28.9974327087,0.47193488478699996,0.478074014187,7.858660697939999,7.17238807678,0.166491940618,0.163827210665,-0.056796066463,-0.06876577436919999,0.163283616304,0.156907126307,2.40047955513,2.12326741219,33.3811149597,29.0216178894,597.7759399409999,0.0566232427955,0.0534150972962,1697.44580078,1662.21704102
